lin312-04:3% time java -jar project1.jar 4
Local IP Address: 128.227.205.151
Boss: 
Number of Zeros Specified:  4
[INFO] [09/13/2015 05:54:17.245] [main] [Remoting] Starting remoting
[INFO] [09/13/2015 05:54:17.327] [main] [Remoting] Remoting started; listening on addresses :[akka.tcp://BossSystem@128.227.205.151:8397]
[INFO] [09/13/2015 05:54:17.328] [main] [Remoting] Remoting now listens on addresses: [akka.tcp://BossSystem@128.227.205.151:8397]
The BOSS is alive
chelseametcalf89840f	00002c2c71580e278aec33b097a19289ba6dd4602dbc8b3dc3ff06fedfe00201
chelseametcalf8ae807	0000232943d954d56b59c1dc196ead28f6e296615a38e7895f379d09628f73a6
chelseametcalf8bc8e2	000075af9bf13f8ca445abd48fcc8d18dfeab0d4638d53152eb7b6ac80ece669
chelseametcalf8bf9c9	000041da65f925d91c0bc7b73509c0f7b5741b2bf070cf4716a3b2f79ad9fe31
chelseametcalf8cee14	00009a5fdba4226e1b67ad8e4ccaa5eda58cfe5847f0553ddfbefea10928608d
chelseametcalf904b82	00007eccfca73d2201377af94be327da4c2b37f036c6de77138382d1ec9db6b3
chelseametcalf90531b	00005c7009440293cfeae1dd460332d8128590b63d8531025538aa81a0ee2b2d
chelseametcalf916d22	0000c9321993f38d54a1cc3bbbe6e3951b95f7f16cc1159748667a186e48a96f
chelseametcalf92f17f	0000757e9affef8eb3ea03cc0c0b98092d3eac02566a53bd5d1c6a8ac60fbd8e
chelseametcalf9859d5	0000a1464fa1d71b644d520fffaf6de278bc0b50e5a1580af8f0d0e7f5054b82
Total time to mine: 49437 ms      Coin Count: 10

chelseametcalf308f53	000087c3bfea6fbbdcb211a92a2d0d585e0050a790195c08d11ce2da886d4e38
chelseametcalf312e74	0000e8f86ddff65b08aae6fd6b4b1bbad1cb9630175a007d1b6456e7f181a4ac
chelseametcalf315f3a	0000d74f85f2f8d97702a2f469619fc89dd30f294ab3ef9174a462683dec3e00
chelseametcalf32dceb	000003923b5a4a3dd6744365abda95244a1a952bf2f4fa25a331c01ff061e28b
chelseametcalf339426	000022de69faf796988c5a0fdb9f929337151e906bfb3f0a32ef4e3469bf59a5
chelseametcalf33c61d	000061c855543cd36497d6432e09429d4b5fd5fa32ab56e35b9d126fb4dfcd49
chelseametcalf3487ef	0000b271248fe7d100382582953340226a1b70e493655d3c4ce40a89f79612d8
chelseametcalf36599a	00001ba91ad7b8d13e815e9e3b2b8042a358835419158c5cf17c2e88a8c7fbc4
chelseametcalf367a9e	0000ec1cd936913e1e6aa5236f0f091e6bae5aa27d50ccbf537140b87aa7221f
chelseametcalf398684	00009155367e449c1162b2597409bbdd1d1e2a6db91fec3e8df7711d8dbbcd61
chelseametcalf39c750	00008ada4f1dda49fedfe0d68f2b97da47ce0cc03d72f8c88b9dfaaa8d7e07f3
chelseametcalf39e4b6	00002980751565efe56a7a24fcceaa8218dac5939d68923d237ca75f528171dd
chelseametcalf3a02f5	000029f7db8c30068e610378b2cac710c13ddeb62c9ff653bb13ee9136c6e889
chelseametcalf3a9b9b	000055717688843cea008fa076bcc0d2395a39e8becc6ac99e67c5c62f48a524
chelseametcalf3bd58b	0000254ed96fb3d79670c1437e480b2566fed12b4c09992a42c0fe034aadee56
Total time to mine: 50350 ms      Coin Count: 15

chelseametcalf6b35df	0000a5e2296817da698e4044f1e76d4f7dc4ae65b093407f2da6ab08e1d714c1
chelseametcalf6c57b5	00006159df5708a16fec6908f7f91d1068af605f4d982a3be2733b0bcd6ede66
chelseametcalf6ef57b	0000e3c46ad1a5c046a9bb7e35e953a475c1b897a669da2809a8d10a3eac7a59
chelseametcalf6f83db	0000c30337b7dc626667901f218c722e03abe9819288286c492f3e4da0fcba9c
chelseametcalf6f9ee8	0000e95d856c24c20afca4adcb43957f36342da5f7396f03bbdc73d3911a5648
chelseametcalf70ad8f	000028060cccc9e3cf5e09211d81e01f1e1eb4e00231e9a00a206428567d8fcf
chelseametcalf712932	0000749e49c0fcab59f4b742e9bdd7cb4e65728bb515383de0d21a912e4b19bd
chelseametcalf720fe5	000067496370614b99ad3dae1a531264b235297b92d31015919d8c80457d89f1
chelseametcalf75c6cc	0000c07f859aa812fa4d6dca9dc650dce340cbc9eed023d7286f04cc71cec84c
chelseametcalf76b36f	0000cb270dae0dfd1a9c2d9db3c21b5ef330f5650000c256173c8169068b2c3d
chelseametcalf770ecd	00008d420c5be89a409282fd91f240c83b49bcebeac79bf3a34f8db914351538
